鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
大園區,土地,埔心段埔心小段1729地號,226.05,,特定農業區,農牧用地,1090703,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6632000,29339,,0.0,0,,RPQPNLOLPHPFFEH96DA,0.0,0.0,0.0,無,
大園區,土地,埔心段埔心小段1199地號,1000.0,,特定農業區,農牧用地,1090701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,28950000,28950,,0.0,0,,RPXONLOLPHPFFEH57DA,0.0,0.0,0.0,無,
中壢區,房地(土地+建物)+車位,溪洲三街７６號六樓之３,11.02,住,,,1090721,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860530,85.87,2,2,2,有,有,5000000,58228,坡道平面,0.0,0,,RPOUMLPJQHPFFBH86DA,34.7,1.23,5.01,有,
中壢區,房地(土地+建物)+車位,內定二十二街１８０之１６號,78.52,農,,,1090712,土地2建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,1061214,250.73,5,2,4,有,有,15170000,60503,坡道平面,0.0,0,,RPQNMLQJQHPFFBH09DA,71.61,0.0,3.92,無,
觀音區,房地(土地+建物),中觀路一段６５巷１９號,90.7,住,,,1090717,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1090406,189.88,4,2,4,有,有,12960000,68254,,0.0,0,,RPRTMLPJQHPFFBH07DA,169.07,0.0,20.55,無,
中壢區,房地(土地+建物)+車位,長樂二街１０３號六樓,24.57,住,,,1090711,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080613,160.57999999999998,3,2,1,有,有,7250000,45149,坡道平面,0.0,0,,RPTSMLPJQHPFFBH17DA,61.41,3.08,5.12,有,
中壢區,土地,月眉段383地號,2161.0,,特定農業區,農牧用地,1090706,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22225885,10285,,0.0,0,,RPUSMLOJQHPFFBH17DA,0.0,0.0,0.0,無,
觀音區,土地,三座屋段新興小段428地號,1000.0,,特定農業區,農牧用地,1090705,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3950000,3950,,0.0,0,,RPUQMLNJQHPFFBH86DA,0.0,0.0,0.0,無,
中壢區,土地,月眉段607地號,1252.0,,特定農業區,農牧用地,1090715,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17050000,13618,,0.0,0,,RPVRMLKKQHPFFBH86DA,0.0,0.0,0.0,無,
中壢區,土地,忠福段432地號,129.0,農,,,1090723,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3340000,25891,,0.0,0,,RPOUMLKKQHPFFBH09DA,0.0,0.0,0.0,無,
中壢區,土地,忠福段433地號,128.0,農,,,1090723,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3340000,26094,,0.0,0,,SPOUMLKKQHPFFBH56DA,0.0,0.0,0.0,無,
