鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
樹林區,土地,圳德段546地號,29.07,都市：其他:瓦斯加壓站,,,1091019,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,34400,,0.0,0,,RPXPMLSLIIPFFIF67EA,0.0,0.0,0.0,無,
五股區,房地(土地+建物)+車位,新五路二段２４５號,25.68,住,,,1091006,土地1建物1車位2,一層，見其他登記事項,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1090120,170.28,0,0,0,無,有,15870000,109495,坡道平面,58.22,3600000,建物型態為店舖,RPSTMLRLIIPFFBF66DA,64.82,0.0,8.29,有,
新莊區,房地(土地+建物)+車位,昌德街８１號五樓,45.45,住,,,1091013,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040213,288.86,0,0,0,無,有,34300000,131195,坡道平面,35.04,1000000,,RPTOMLMLIIPFFBF38DA,142.01,3.06,23.4,有,
五股區,房地(土地+建物),成泰路四段５８號九樓,9.64,工,,,1091005,土地1建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1060704,102.05000000000001,0,0,0,無,有,8300000,81333,,0.0,0,,RPUOMLMKIIPFFBF38DA,59.9,0.0,7.94,有,
板橋區,房地(土地+建物)+車位,中正路７７號七樓,17.01,住,,,1091002,土地1建物1車位1,七層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780630,143.7,3,2,2,有,有,18000000,125261,坡道平面,0.0,0,含土地增值稅或其他稅費；含仲介費；,RPQQMLRLIIPFFAF68DA,114.08,1.48,4.06,有,
蘆洲區,土地,民生段823地號,12.08,都市：其他:住宅區,,,1091013,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2037619,168677,,0.0,0,,RPWRMLMLIIPFFGF86DA,0.0,0.0,0.0,無,
汐止區,房地(土地+建物),新台五路二段１２６巷１３弄１７號,80.0,住,,,1091005,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0610420,87.22,2,2,1,有,無,15700000,180005,,0.0,0,,RPPOMLQKIIPFFDF48DA,87.22,0.0,0.0,無,
新莊區,土地,公正段10-1地號,685.74,,,,1091005,土地25建物0車位0,,,其他,,,,0.0,0,0,0,有,無,38800000,56581,,0.0,0,,RPTPMLSLIIPFFBF09DA,0.0,0.0,0.0,無,
泰山區,土地,南林段476-1地號,1174.72,住,,,1091014,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,188336984,160325,,0.0,0,包含公共設施保留地用地；,RPXPMLKMIIPFFBF78DA,0.0,0.0,0.0,無,
三峽區,房地(土地+建物),復興路１０１巷１弄７３號四樓之一,5.3,住,,,1091019,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860124,32.67,1,0,1,有,有,3220000,98531,,0.0,0,,RPSNMLKLIIPFFIF68DA,21.25,1.3,0.0,有,
新莊區,房地(土地+建物),中正路５４４之１２號,837.09,工,,,1091013,土地3建物2車位0,全,一層,透天厝,辦公用,鋼造,0680628,734.02,5,3,4,有,無,135370000,184423,,0.0,0,,RPXSMLSLIIPFFBF27EA,734.02,0.0,0.0,無,
五股區,房地(土地+建物)+車位,新五路二段５８０號十二樓,20.56,住,,,1091008,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070410,120.59,2,1,1,有,有,9700000,80438,坡道機械,17.77,0,,RPOWMLSLIIPFFBF76EA,59.46,6.88,3.82,有,
三重區,房地(土地+建物)+車位,集賢路１８６號六樓,36.44,住,,,1091019,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050908,221.93,4,2,2,有,有,28500000,128419,升降平面,36.09,0,,RPVQMLQLIIPFFGF07DA,100.74,9.46,11.37,有,
三芝區,土地,大湖段1033地號,9842.31,,山坡地保育區,林業用地,1091008,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,40000000,4064,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSUMLTKIIPFFEF17DA,0.0,0.0,0.0,無,
五股區,土地,德音段653地號,16.82,,,,1091019,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1017584,60498,,0.0,0,急買急賣；包含公共設施保留地用地；,RPQPMLMLIIPFFBF18DA,0.0,0.0,0.0,無,
板橋區,房地(土地+建物),翠華街１２巷２０號,28.5,住,,,1091002,土地1建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,85.24,2,2,1,有,無,13300000,156030,,0.0,0,其他增建；,RPWOMLMLIIPFFAF58DA,85.24,0.0,0.0,無,
淡水區,車位,大信街５６號四樓等,0.0,,,,1091006,土地0建物1車位2,,,其他,,,,13.3,0,0,0,有,無,2200000,,坡道機械,13.3,2200000,僅車位交易；,RPSOMLKMIIPFFEF48DA,0.0,0.0,0.0,有,
三重區,土地,五谷王段310地號,515.87,住,,,1091005,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,128469996,249036,,0.0,0,政府機關標讓售；,RPTNMLTLIIPFFGF96EA,0.0,0.0,0.0,無,
三峽區,土地,民生段12地號,562.14,都市：其他:捷運開發區,,,1091005,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19349743,34422,,0.0,0,協議價購；,RPWOMLSLIIPFFIF47EA,0.0,0.0,0.0,無,
三峽區,土地,劉厝埔段89-1地號,1848.0,都市：其他:捷運開發區,,,1091006,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,71314320,38590,,0.0,0,協議價購；,RPWQMLTLIIPFFIF77EA,0.0,0.0,0.0,無,
