鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新莊區,土地,立言段157地號,228.26,住,,,1020308,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,60000,263,,0.0,0,,RPOOMLLKPHIFFBF87EC
三峽區,房地(土地+建物)+車位,新北市三峽區學勤路192-3號10樓,17.29,商,,,1020701,土地1建物1車位1,十層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960727,188.79,3,2,2,有,有,有,17000,90,坡道平面,42.32,0,,RPSPMLLKPHIFFIF88CC
樹林區,房地(土地+建物),新北市樹林區學勤路380號17樓,16.06,商,,,1020701,土地1建物1車位0,十七層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971030,154.62,4,2,2,有,有,有,17000,110,,0.0,0,,RPVPMLLKPHIFFIF56CC
中和區,建物,新北市中和區宜安路144號6樓,22.11,住,,,1020708,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0751121,137.72,3,2,2,有,有,有,24000,174,,0.0,0,,RPVOMLLKPHIFFHF98CC
新店區,建物,新北市新店區中正路542-5號3樓,0.0,,,,1020618,土地0建物1車位0,三層,9,廠辦,工業用,鋼筋混凝土造,0750807,671.55,0,0,0,無,無,無,170000,253,,0.0,0,,RPWOMLLKPHIFFCF58CC
新店區,建物,新北市新店區民權路88之4號5樓,0.0,,,,1020620,土地0建物1車位0,五層,10,廠辦,見其他登記事項,鋼筋混凝土造,0820318,155.19,0,0,0,無,無,無,47727,308,,0.0,0,,RPPPMLLKPHIFFCF97CC
新店區,建物,新北市新店區寶橋路235巷9號3樓,0.0,,,,1020705,土地0建物1車位0,三層,8,廠辦,工業用,鋼筋混凝土造,0780112,401.25,0,0,0,無,無,無,110000,274,,0.0,0,,RPTPMLLKPHIFFCF38CC
汐止區,房地(土地+建物),新北市汐止區大同路二段239號10樓,0.0,住,,,1020709,土地1建物1車位0,十層,29,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001223,67.04,1,1,1,有,有,有,19000,283,,0.0,0,,RPROMLLKPHIFFDF18CC
汐止區,房地(土地+建物),新北市汐止區復興路6號4樓,0.0,其他,,,1020710,土地2建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740212,86.24,2,2,1,有,無,無,9500,110,,0.0,0,,RPSOMLLKPHIFFDF28CC
汐止區,房地(土地+建物)+車位,新北市汐止區勤進路411號6樓,51.3,住,山坡地保育區,暫未編定,1020701,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841208,119.14,2,1,1,有,有,有,10000,84,坡道平面,0.0,0,,RPRPMLLKPHIFFDF28CC
板橋區,建物,新北市板橋區國光路35號6樓,28.8,住,,,1020622,土地0建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840323,154.38,3,2,2,有,有,無,18000,117,坡道平面,0.0,0,,RPWQMLLKPHIFFAF58CC
板橋區,建物,新北市板橋區陽明街279巷17號1樓,34.1,住,,,1020709,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,115.31,4,2,2,有,無,無,30000,260,,0.0,0,,RPORMLLKPHIFFAF87CC
板橋區,房地(土地+建物),新北市板橋區溪北路62號,102.51,住,,,1020628,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,217.14,0,0,0,無,無,無,60000,276,,0.0,0,,RPPSMLLKPHIFFAF08CC
林口區,房地(土地+建物),新北市林口區文化三路一段375號1樓,22.89,住,,,1020701,土地1建物1車位0,一層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970421,145.63,0,0,0,無,有,無,26000,179,,0.0,0,,RPRPMLLKPHIFFBF08CC
五股區,房地(土地+建物),新北市五股區工商路149號三樓,80.0,住,,,1020601,土地1建物1車位0,三層,3,公寓(5樓含以下無電梯),住家用,加強磚造,0640820,66.65,2,1,1,有,無,無,9000,135,,0.0,0,,RPWRMLLKPHIFFBF78CC
林口區,房地(土地+建物)+車位,新北市林口區南勢街250巷58號7樓,42.29,住,,,1020703,土地1建物1車位1,七層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971111,163.89,3,2,2,有,有,有,17000,104,坡道平面,35.08,0,,RPOSMLLKPHIFFBF08CC
林口區,房地(土地+建物),新北市林口區民享路70號,23.93,住,,,1020611,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0981028,84.05,0,0,0,無,無,無,15000,178,,0.0,0,,RPPQMLMKPHIFFBF08CC
林口區,房地(土地+建物)+車位,新北市林口區文化北路一段392號,44.89,住,,,1020616,土地1建物1車位2,一層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0990531,218.60000000000002,0,0,0,無,無,無,19500,89,坡道平面,53.77,0,,RPRRMLMKPHIFFBF38CC
板橋區,房地(土地+建物),新北市板橋區文化路一段366號37樓,9.06,住,,,1020624,土地1建物1車位0,三十七層,43,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990715,182.18,3,2,2,有,有,有,51200,281,,0.0,0,,RPWQMLMKPHIFFAF68CC
板橋區,建物,新北市板橋區莊敬路１９號１１樓,0.0,住,,,1020630,土地0建物1車位1,十一層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860905,168.20999999999998,4,2,2,有,有,有,45000,268,坡道平面,55.19,0,,RPTSMLMKPHIFFAF58CC
新店區,房地(土地+建物)+車位,新北市新店區中興路二段239號17樓,18.93,住,,,1020703,土地1建物1車位1,十七層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990903,210.69,3,2,2,有,有,有,40000,190,坡道平面,27.61,0,租金總額--有含車位租金,RPQPMLMKPHIFFCF18CC
新店區,房地(土地+建物)+車位,新北市新店區中興路二段233號17樓,18.93,住,,,1020706,土地1建物1車位1,十七層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990903,210.82999999999998,3,2,2,有,有,有,40000,190,坡道平面,27.61,0,租金總額--已含車位租金,RPTPMLMKPHIFFCF48CC
三重區,建物,新北市三重區三民街２１３號５樓之１,0.0,住,,,1020629,土地0建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950623,152.99,3,2,2,有,有,有,25200,165,坡道平面,40.55,0,,RPURMLMKPHIFFGF56CC
鶯歌區,房地(土地+建物),新北市鶯歌區鶯桃路445號,31.51,商,,,1020709,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,95.91,0,1,1,有,無,無,22000,229,,0.0,0,,RPVOMLMKPHIFFIF66DC
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路三段101巷16弄24號4樓,30.24,住,,,1020714,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980406,161.78,4,2,2,有,有,有,20000,124,坡道平面,31.42,0,,RPUNMLOKPHIFFEF78CC
三峽區,房地(土地+建物),新北市三峽區學勤路186號3樓,11.94,商,,,1020710,土地1建物1車位0,三層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960727,101.71,2,2,1,有,有,有,16000,157,,0.0,0,,RPTNMLOKPHIFFIF09CC
中和區,房地(土地+建物),新北市中和區中和路302號,14.0,住,,,1020708,土地1建物1車位0,見其他登記事項,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800605,265.86,0,0,0,無,無,無,160000,602,,0.0,0,,RPVNMLPKPHIFFHF66CC
中和區,建物,新北市中和區自立路101號一樓,0.0,住,,,1020712,土地0建物1車位0,一層,5,店面(店鋪),住家用,鋼筋混凝土造,0700219,47.73,1,1,1,有,無,無,30000,629,,0.0,0,含增建或未登記建物。,RPSOMLPKPHIFFHF09CC
中和區,建物,新北市中和區中山路二段365巷2弄3號,259.0,工,,,1020701,土地0建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0730421,182.0,0,0,0,無,無,無,25000,137,,0.0,0,,RPSQMLPKPHIFFHF66CC
新店區,建物,新北市新店區三民路96-2號2樓,0.0,住,,,1020615,土地0建物1車位0,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0760806,107.77,3,2,2,有,無,有,18000,167,,0.0,0,,RPSNMLPKPHIFFCF48CC
新店區,房地(土地+建物),新北市新店區北新路二段121巷10號2樓,23.17,住,,,1020709,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,97.74,3,2,1,有,無,有,18500,189,,0.0,0,1020731到期-1020709續約續租。,RPVNMLPKPHIFFCF78CC
新店區,建物,新北市新店區三民路96-1號1樓,0.0,住,,,1020621,土地0建物1車位0,一層,8,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0760806,297.58000000000004,0,2,1,有,無,無,52000,175,,0.0,0,,RPVQMLPKPHIFFCF09CC
