鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
燕巢區,房地(土地+建物),高雄市燕巢區燕新二街２巷５弄８號,118.99,住,,,1130627,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0930128,246.15,5,2,5,有,無,15200000,61751,,0.0,0,壹樓空地遮雨棚增建其他增建；,RPXNMLOKQHJGFFE66DA,236.67,0.0,9.48,無,
岡山區,房地(土地+建物),高雄市岡山區光潭路１１６巷６３號,71.21,,一般農業區,甲種建築用地,1130630,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0850126,162.99,4,2,3,有,無,11500000,70556,,0.0,0,其他增建；,RPROMLPKQHJGFFE88DA,150.68,1.16,11.15,無,
橋頭區,土地,仕興段163-7地號,124.0,住,,,1130624,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,15500000,125000,,0.0,0,未登記建物；,RPUNMLQKQHJGFFE56DA,0.0,0.0,0.0,無,
鳳山區,房地(土地+建物),高雄市鳳山區翠亨北路１５５號,30.0,住,,,1130614,土地2建物1車位0,一層,五層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,1121003,80.89,1,1,1,有,無,12000000,148350,,0.0,0,,RPSNMLOKOHJGFGE68DA,43.86,0.0,0.0,有,
鳳山區,房地(土地+建物),高雄市鳳山區翠亨北路１５５號五樓,30.0,住,,,1130614,土地2建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1121003,129.6,2,2,2,有,無,11000000,84877,,0.0,0,,RPTNMLOKOHJGFGE78DA,83.3,0.0,9.27,有,
鳳山區,房地(土地+建物),高雄市鳳山區南華路１６９號七樓,9.82,商,,,1130618,土地1建物1車位0,七層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850515,135.07999999999998,4,2,2,有,有,8200000,60705,,0.0,0,含傢俱設備費；,RPPNMLQLOHJGFGE68DA,86.03,0.0,19.07,有,
鳳山區,房地(土地+建物),高雄市鳳山區明鳳十三街４９巷１號,64.73,住,,,1130616,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土,0930803,159.38,4,2,4,有,無,16420000,103024,,0.0,0,陽台外推；頂樓加蓋；,RPOPMLQLOHJGFGE78DA,157.26,0.0,2.12,無,02091
鳳山區,房地(土地+建物),高雄市鳳山區澄清路１４９巷５之１號,34.46,住,,,1130611,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671214,89.69,3,2,2,有,無,6000000,66897,,0.0,0,含傢俱設備費；,RPQNMLOJPHJGFGE48DA,80.28,0.0,9.41,無,
鳳山區,房地(土地+建物)+車位,高雄市鳳山區光復路５８號九樓,15.48,都市：其他:第二之五種商業區,,,1130606,土地3建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0781110,172.42,4,2,2,有,有,12300000,71337,坡道平面,0.0,0,停車位：地下一樓車位編號A3號,RPPOMLOJPHJGFGE48DA,110.59,0.0,18.17,有,
鳳山區,房地(土地+建物),高雄市鳳山區仁愛路４０巷４１號,64.9,住,,,1130618,土地6建物1車位0,全,二層,透天厝,住家用,加強磚造,0580730,75.2,3,1,2,有,無,6600000,87766,,0.0,0,,RPOPMLLKPHJGFGE28DA,75.2,0.0,0.0,無,02092
